模块名称,功能名称,子功能名称,功能说明
审计监督检查,科研经费使用合规性审计,间接费用计提与使用检查,检查管理费与绩效支出计提与使用合规
审计监督检查,科研经费使用合规性审计,外协转拨资金监控,监测外协单位关联关系与审批流程完整性
审计监督检查,三公经费与重点费用审计,单次与总额超标预警,计算接待、用车、出国费用并对标标准
审计监督检查,三公经费与重点费用审计,事由与票据一致性校验,校验报销票据连号与事由匹配度
审计监督检查,采购全过程合规性监控,拆分规避招标识别,识别短期内同品类拆分以规避招标的行为
审计监督检查,采购全过程合规性监控,供应商关联冲突预警,供应商与教职工信息比对，提示利益冲突
审计监督检查,采购全过程合规性监控,招标结果与合同一致性检查,比对价格、数量、技术参数等一致性
审计监督检查,采购全过程合规性监控,验收与付款异常检查,识别未验收先付款与超合同金额付款
审计监督检查,固定资产全生命周期管理审计,资产账实相符分析,盘点数据与账面比对，标记盘盈盘亏
审计监督检查,固定资产全生命周期管理审计,资产闲置与低效使用预警,识别长期未领用或使用率极低资产
审计监督检查,固定资产全生命周期管理审计,资产处置合规性检查,检查报废审批与残值回收入账情况
审计监督检查,招生录取合规性审计,特殊类型招生风险监控,核查特长生等专业测试与文化课匹配度
审计监督检查,招生录取合规性审计,录取规则一致性检查,校验录取是否遵循招生章程规则
审计监督检查,学籍与学位管理审计,学业预警与学籍处理关联检查,核查达到预警学生的后续学籍处理合规
审计监督检查,学籍与学位管理审计,毕业与授位资格自动核查,按培养方案核查学分、绩点、缴费等
审计监督检查,学籍与学位管理审计,转专业合规性检查,核查转专业条件与当年办法一致性
审计监督检查,工程项目全过程跟踪审计,工程变更与签证风险预警,监控变更频率与金额占比并预警
审计监督检查,工程项目全过程跟踪审计,工程款支付合规性检查,支付进度与监理确认工程量匹配校验
审计监督检查,工程项目全过程跟踪审计,材料价差调整核查,比对合同基准价与市场信息价的调整合理性
审计监督检查,经济责任审计数据支持,任期内经济指标分析,汇总分管部门预算执行率、资产增长等指标
审计监督检查,经济责任审计数据支持,重大决策合规性追踪,追踪签批的大额资金与经济项目合规与效益
审计监督检查,薪酬与社保发放合规性审计,吃空饷检测,识别离职或停薪人员仍发放工资情况
审计监督检查,薪酬与社保发放合规性审计,津补贴发放合规性检查,识别超标准发放绩效与违规津补贴
审计监督检查,薪酬与社保发放合规性审计,社保与公积金基数核查,对比人事基数与实际工资标准一致性
审计监督检查,IT治理与安全审计,权限异常访问监控,检测非工作时段、高频次、越权访问敏感数据
审计监督检查,IT治理与安全审计,用户账号生命周期管理,检查离职与调岗人员账号权限及时调整
审计监督检查,IT治理与安全审计,配置与安全基线核查,核查系统安全配置与基线符合性
数据采集与治理层,数据源与接入管理,源系统清单与分级,财务/科研/资产/采购/合同/人事等源系统台账与敏感级别
数据采集与治理层,数据源与接入管理,接口配置与监控,API/DB/文件接入，连接健康与吞吐监控
数据采集与治理层,增量与消息同步,CDC/日志抓取,基于CDC的准实时增量同步与日志采集
数据采集与治理层,增量与消息同步,调度与重试,调度编排、失败重试、异常告警
数据采集与治理层,外部数据接入,工商/股权/法人库,接入企查类、法人黑名单等，做关联风险识别
数据采集与治理层,外部数据接入,发票/市场信息价,税务发票查验、市场信息价、招投标公共平台
数据采集与治理层,数据处理与开发,ETL/ELT设计器,可视化编排与脚本化处理，作业版本管理
数据采集与治理层,数据处理与开发,标准化与映射,口径统一、编码映射、主键治理
数据采集与治理层,主数据管理,主数据模型,人员/组织/供应商/项目/合同等主数据域模型
数据采集与治理层,主数据管理,重复合并/唯一ID,去重合并与全局唯一标识生成
数据采集与治理层,数据仓库/湖,主题域与分层,明细-中间-汇总分层建模与主题数据集市
数据采集与治理层,数据仓库/湖,历史归档与分区,分区、冷热分层与历史归档策略
数据采集与治理层,数据质量管理,质量规则与评分,完整性/准确性/一致性规则与评分看板
数据采集与治理层,数据质量管理,异常工单与修复,质量异常自动工单、修复闭环与复测
数据采集与治理层,元数据与血缘,元数据目录,字段/表/作业元数据采集与目录服务
数据采集与治理层,元数据与血缘,血缘与影响分析,变更影响分析与溯源可视化
数据采集与治理层,数据安全与脱敏,行列级权限,基于RBAC与组织的精细化数据授权
数据采集与治理层,数据安全与脱敏,脱敏/水印策略,静态/动态脱敏、访问水印与密签
数据分析与预警层,监督模型库,内置模型库,预算、三公、科研、资产、基建、招生等模板模型
数据分析与预警层,监督模型库,自定义建模,拖拽/脚本建模、样本管理、历史回测与对比
数据分析与预警层,规则与预警引擎,规则配置中心,阈值/趋势/关联/时序/图谱等规则统一配置
数据分析与预警层,规则与预警引擎,实时/准实时引擎,新增业务数据自动触发检查与流式处理
数据分析与预警层,分级与处置策略,分级策略,高/中/低分级、通知策略、责任人与矩阵
数据分析与预警层,分级与处置策略,去重与聚类,相似预警聚类、降噪与批量处置
数据分析与预警层,智能分析能力,图谱关联分析,人-企-合同-投标等多实体关系网络分析
数据分析与预警层,智能分析能力,NLP文本分析,会议纪要/招标文件要点抽取与敏感条款识别
数据分析与预警层,证据自动抽取,票据OCR与查验,发票影像识别与税务真伪查验
数据分析与预警层,证据自动抽取,审批链还原,自动还原审批流程节点、时间线与责任人
数据分析与预警层,报表与可视化,指标库与自助报表,指标管理、拖拽式报表、导出
数据分析与预警层,报表与可视化,订阅与分发,定时报表、邮件/IM/Webhook分发
系统管理支撑层,用户与权限管理,组织机构,多层级组织/岗位/二级学院维护
系统管理支撑层,用户与权限管理,角色与RBAC,功能权限与数据（行/列/字段）授权
系统管理支撑层,统一认证与单点登录,SSO接入,对接统一身份认证/LDAP/CAS
系统管理支撑层,统一认证与单点登录,多因子认证,短信/OTP/硬件Key等多因子认证
系统管理支撑层,审计日志与追踪,操作/访问日志,全量留痕、可检索与审计追踪
系统管理支撑层,审计日志与追踪,合规报表,等保所需审计报表自动生成与导出
系统管理支撑层,参数与系统配置,系统参数,时间口径、阈值、开关项统一配置
系统管理支撑层,参数与系统配置,通知渠道配置,邮件/短信/IM、Webhook等通道管理
系统管理支撑层,集成与网关,API网关与密钥,接口文档、密钥、配额与流控
系统管理支撑层,集成与网关,任务调度与消息,定时任务、消息总线、失败重试
系统管理支撑层,运维监控与备份,运行监控/告警,资源、服务、接口可用性监控与告警
系统管理支撑层,运维监控与备份,备份与恢复,定期备份、容灾恢复与演练
系统管理支撑层,安全中心,加密与密钥管理,存储/传输加密、证书与密钥托管
系统管理支撑层,安全中心,数据隔离与水印,敏感域隔离、“看不见、拿不走”水印策略
系统管理支撑层,多校多租户（可选）,租户与授权,多学校/校区租户与授权包管理
系统管理支撑层,多校多租户（可选）,租户隔离策略,数据/计算/配置隔离策略与巡检
运维与服务保障,发布与变更管理,版本/变更管理,版本台账、变更审批与记录追踪
运维与服务保障,发布与变更管理,灰度与回滚,灰度发布、蓝绿与回滚策略
运维与服务保障,容灾与高可用,主备/双活切换,故障切换流程编排与监控
运维与服务保障,容灾与高可用,演练与RPO/RTO,容灾演练、RPO/RTO指标管理
运维与服务保障,性能与容量,压测与优化,压测脚本、瓶颈分析、性能调优
运维与服务保障,性能与容量,容量规划,资源监控、容量预测与扩容计划
运维与服务保障,服务台与培训,工单与服务目录,受理、分派、SLA与服务项目录
运维与服务保障,服务台与培训,培训与知识,培训课程、在线手册、FAQ与考试
数据合规与隐私治理,数据分类分级,分类分级策略,制定分类分级标准与管理制度
数据合规与隐私治理,数据分类分级,标注与巡检,自动/人工标注与周期巡检
数据合规与隐私治理,数据共享与出境审批,共享目录与权限,数据共享目录、授权范围与脱敏策略
数据合规与隐私治理,数据共享与出境审批,申请/审批与留痕,共享/出境申请审批流程与水印留痕
数据合规与隐私治理,隐私与脱敏治理,脱敏/匿名化策略,PII/敏感数据脱敏、匿名化与用途限制
数据合规与隐私治理,隐私与脱敏治理,授权与审计,数据访问授权、合规审计与报表
数据合规与隐私治理,等保与测评支持,自查与测评报表,等保三级自查、测评报表自动化
数据合规与隐私治理,等保与测评支持,整改闭环,问题整改、复核与销号归档
